art,t,bpm,g,ln,s
m-flo loves CHEMISTRY,Astrosexy (Cut Ver.),120,5,3,1447312
sora tob sakana,New Stranger (TV Size),190,10,3,1564596
NAOKI feat. Aleisha G,A Brighter Day,155,2,2,25421
Maduk,Company (feat. Juul) (Cut Ver.),175,10,2,1667478
Isekai Joucho,Kyoukankaku Obake,184,10,3,1551060
Iguchi Yuka,Hey World (TVsize),180,3,3,302731
Coda,BLOODY STREAM,132,14,3,1075797
KOTOKO,TRUE-BLUE,170,2,3,959003
777*SISTERS,"Snow in ""I love you""",135,2,3,533030
Kurosaki Maon,Rakuen no Tsubasa (TV Size),155,5,3,1300181
Teminite feat. Jonah Hitchens,Everytime I Look into the Sky,110,14,2,1122012
Ryokuoushoku Shakai,Shout Baby,180,5,3,1247712
Eru,Heian no Alien,150,2,5,116669
Isla (CV: Amamiya Sora),Suki Nanode.,100,3,3,1195818
Waki Azumi,Viewtiful Days! (TV Size),196,3,3,1793712
Kouda Yumeha,TWO BY TWO (TV Size),170,5,3,1838789
OneRepublic,Counting Stars,122,5,2,1068991
fripSide,black bullet,155,3,3,905839
Slava KPSS feat. Lida,Gav-Gav,170,10,12,1832981
Hanatan,arc-en-ciel (TV Size),130,5,3,1922592
HoneyWorks,Watashi no Tenshi feat. Narumi Sena (CV: Amamiya Sora) (Cut Ver.),168,5,3,1366605
Enako feat. Pmarusama.,Iden Tei Tei Meltdown (TV Size),155,5,3,1910726
Aoyama Nanami(Nakatsu Mariko),I call your name again,82.99,3,3,700182
FELT,Prayer Blue,159,2,3,1027740
Misaki,little flapping,170,2,3,939958
DJ NAGAI feat. a*ru,Benibotan,181,2,3,761999
Sasaki Sayaka,"Sakura, Reincarnation",181,2,3,975677
Asano Hayato,Hibari Kochi,200,2,5,959018
HAG,Chikyuu Saigo no Kokuhaku o,186,4,3,935549
Mimomo & Kotomugi,Kokoronashi,84,4,3,1464478
Allj,Suzuki,125,9,12,836883
Orangestar,Nijigen no Onnanoko ni Koi o Shite Shimatte Tsurai...w,97,6,3,1054381
Reol,Jitter Doll,180,4,3,1010993
Killswitch Engage,In Due Time,170,4,2,941053
AKINO with bless4,Jet Coaster Ride,165,3,3,280695
Owl City ft. Breanne Duren,The Saltwater Room,112,5,2,23641
Mahiru & Ado,"Hana ni Ame o, Kimi ni Uta o",240,4,3,1720462
fiend,2DF2,155,9,2,1797340
Zhang Liang Ying,Di Qi Gan,105,5,4,176984
MIYAVI vs. KenKen,Flashback (TV Size),140,3,3,745270
Yui Sakakibara,100Nyan Power de Yumegokoti,128,2,3,635037
fripSide,fortissimo -from insanity affection-,150,2,3,1820392
ClariS,Connect,175,5,3,1935954
Iguchi Yuka,Platinum Disco (TV Size),117,3,3,45610
KOTOKO,Yumemiboshi * boom!boom! (Short Ver.),165,2,3,40924
ave;new feat. Sakura Saori & Shirasawa Rie,Love Doki Suki Angel * Paradise!!,165,2,3,31852
nayuta,Shan Dara Rin,137,2,3,26828
Sakakibara Yui,Katayoku no Ikaros (TV Size),179,3,3,29853
OneRepublic,Secrets,148,4,2,24130
Kuribayashi Minami,STRAIGHT JET (TV Size),154,3,3,25360
Itou Kanae,Metamerism (TV Size),160,3,3,25159
Kake Tamashi-tai,Ai no Yokan (TV Size),160,3,3,38510
Nomizu Iori,Natsu no Ojousan,164,3,3,34669
Choucho,Authentic symphony (TV Size),175,3,3,39356
yanaginagi,Vidro Moyou (TV Size),131,3,3,45719
Suzaku,CONTRACT,180,2,5,33819
Xinely & 10nya,Kanade,75,3,3,1101184
yanaginagi,Shirushibi,140,3,3,1621606
siqlo,Purple Hyacinth feat. Norico,146,5,3,1245826
Fujita Maiko,Nee (TV Size),97,3,3,49199
Daniel Ingram,Equestria Girls,112,3,2,351098
Miyuki Hashimoto,Kokoro ni Hibiku Koi Hotaru,122,2,3,482579
dBu,Shanghai Alice of Meiji 17,140,2,5,5715
Aimer,I beg you,128,3,3,1029661
Maduk,Go (feat. Lachi) (Cut Ver.),174,10,2,1675558
Aitsuki Nakuru,phony,170,5,3,1693877
SHISHAMO,Egao no Tonari,97,5,3,435617
The Prodigy,Invaders Must Die,140,4,2,4191
xxdbxx,Cherokee,136,2,5,17148
May'n,Ready Go!,160,3,3,18961
Boom Boom Satellites,Shut Up And Explode,150,3,2,21464
Hate vs Brilliance,Quark,180,2,5,20323
Inori Minase,REAL-EYES,176,5,3,1677237
the peggies,Ashiato (TV Size),164,4,3,1694381
BUMP OF CHICKEN,Shinsekai,162.93,5,3,1817020
Sakakibara Yui,Happy Lucky X'mas,160,5,3,235599
HoneyComeBear,Dear,148,10,3,806020
Aoi Eir,I will...,176,5,3,1219927
neverquest + avalanche death,don't go!,151.19,10,2,1122698
keshi,ANGOSTURA,85,5,2,1790451
69 de 74,Aratanaru Ketsui,189,10,5,1771017
Kinjishi,Nageki no Ki,160,2,5,1017760
Vickeblanka,Black Catcher (TV Size),200,4,3,1342027
Kamiyama Yoh,bunny,128,5,3,1069576
BTS,IDOL,126,5,6,837929
Serph feat. Zun,Piplup Step,96,5,2,1704375
subplaid,Only time make your hapiness,170,10,2,560330
Kuraki Mai,Mou Ichido,68,5,3,117676
Tiara,Toki wo Tomete (feat. WISE),95,5,3,90111
Frou Frou,Must Be Dreaming,148,5,2,5578
Fujikawa Chiai,Gomi no Hi,248,4,3,1235121
Soyokaze Mirai,Kimi to Watashi no Sentence,174,2,3,772053
Yu-Peng Chen @HOYO-MiX,A Sweet Smile,170,2,5,1274974
Uema Emi,Catch Light,174,5,3,1322295
Basshunter,Jingle Bells,140,10,2,10871
KOTOKO,Hayate no Gotoku!,152,2,3,10162
Grant Kirkhope,Final Battle,180,2,2,8493
Lexurus,About You (feat. Luna),185,10,2,903055
calmeva,Jie Shou Ai Jiang FA Q De Zhi Cai Ba,126,7,2,829413
An,Catanoph,191,10,5,775846
HoneyWorks,Watashi no Tenshi feat. Narumi Sena (CV: Amamiya Sora),168,5,3,1308891
FROZEN QUALIA,Graffiti,172,5,3,1339688
Park Seah,Hope,124,5,6,1337323
HOYO-MiX,Devotion of the Keeper,143,4,5,1813840
senzawa,padowo padowo,109,7,3,1650892
Hanatan,Hajimete no Oto,100,5,3,494375
MY FIRST STORY,lonely,136,4,2,1268300
Chata,Dream Tide -Yume no Chouryuu-,141,2,3,40996
DragonForce,Fury of the Storm,200,4,2,571679
Buono!,Winter Story,169,5,3,40425
Cro,Wie ich bin,130,9,8,1415788
"Minase Inori, Hanazawa Kana, Iguchi Yuka, Hayami Saori","Koko kara, Koko kara (TV Size)",175,3,3,1105567
yuikonnu,Hoshitachi no Melody,182,5,3,1685668
Muse,Space Dementia,170,4,2,828659
eyelis,Ginsekai,172,4,3,1799326
Nekrogoblikon,Dressed as Goblins,248,11,2,1233657
Riria.,Shitsuren Song Takusan Kiite Naite Bakari no Watashi wa Mou. (TV Size),75,3,3,1808557
Vivid BAD SQUAD x Kagamine Rin,City,128,5,3,1836158
Kawada Mami,crossing way,132,2,3,1049229
cYsmix,Eden,140,10,5,1273651
Yuyoyuppe,Hidamari no Uta,136,4,3,334050
ryo (supercell) feat.Hatsune Miku,Tsumi no Namae,172,2,3,480273
project-ALCA-,echoes vocal. yanaginagi,149,5,3,311393
NoisyCell,Innocence,87,3,2,557231
Hikasa Yoko,EX:FUTURIZE,180,3,3,204723
R3 Music Box,Last Christmas,84,6,5,1635429
The Neighbourhood,Unfair,97,10,5,656425
POLKADOT STINGRAY,Diver,155,4,3,1623365
Kajiura Yuki,Slipstream,157,3,3,7323
onoken,Quinine -A2D SIDE-,180,10,5,12469
Kajiura Yuki,Break the Sword of Justice,155,3,5,7428
Hideyuki Fukasawa,Theme of Hulk,170,2,5,296157
Nordkapp,Hey You (Nightcore Mix),154.11,10,2,58246
Aya Hirano,Hare Hare Yukai (Trance Remix),180,3,3,13033
Meiko Nakamura,Emotional Rule,175,2,3,15777
Dai2BungeibuBand,KiraKira (Short Ver.),202,2,3,24458
Misun,Eli Eli (Maduk Remix),170,10,2,708908
ShinRa-Bansho,Muishiki Requiem,195,2,3,975932
Kisumi Reika,Sekai wa Futari no Tame ni,160,5,3,1584826
Two Steps From Hell,Adventure of a Lifetime,158,12,5,986567
TOMOSUKE,Ergosphere,170,2,5,1233027
Ogura Yui,Fightin * Pose (TV Size),145.88,3,3,1536856
TrySail,azure,140,3,3,879262
Rin'ca,Kimi ni Todokeru story,156,5,3,1695213
Shihoko Hirata,Pursuing My True Self,119,2,2,4934
Ne-Yo,Miss Independent,172,9,2,12852
Electronic Boutique,HEXAD,135,2,5,11693
Karen,Sudden Death R99,190,2,3,6269
Masami Okui,Rondo-Revolution,128,3,3,7974
Iglu & Hartly,Build,120,10,2,7628
Lady GaGa,Beautiful Dirty Rich,120,5,2,6441
Nauts,Sunset Rider,170,2,5,5616
May Nakabayashi,Seikan Hikou,131,3,3,2894
Tsukasa,The Clear Blue Sky,178,2,2,9683
"Yoshito Hirano, Yuka Tsujiyoko",Petal Meadows,128,2,5,6814
Sasha Asuka,Kamigami no Inori,130,2,3,14892
Digital R.i.S.E.,Cerulean Sky,170,2,5,3998
KAMELOT,Eden Echo,150,11,2,986205
KEYTALK,OUKARANMAN (TV Size),150,3,3,972282
MISSIO,Sing To Me,142,10,2,1245769
GARDEN,Advance Adventure,168,3,3,3425
The Queenstons,Our Special Place,136,10,2,19536
Rica Matsumoto,Best Wishes! (TV Size),159.97,3,3,20668
Rica Matsumoto & Megumi Toyoguchi,High Touch! (TV Size),140,3,3,27437
Jun Senoue & Kaz Silver,Believe In Myself,172,2,2,16731
Noda Junko (Veemon),Go Ahead!,153,3,3,5691
Kurosaki Maon,Memories Last (TV Size),173,3,3,24834
Fractal,Sanctum (feat. Amiya Inspiration),100,10,5,365539
Anzu Hana,Sprinkles,165,5,3,1978624
Sizuk feat. AYAME (from AliA),Dystopia (TV Size),190,3,3,1950676
Taylor Swift,Cruel Summer,85,5,2,1830679
HOYO-MiX,Doombane (tnbee mix),118,2,5,1635829
TRUE,Storyteller (TV Size),192,5,3,1782868
Mili,world.execute(me);,130,4,2,1928286
Ailsean,Joe Cam Stole My Bike,140,2,5,1847
sky_delta,Crepuscular Rays,182,10,3,561917
Tamura Yukari,Eien no Hitotsu (TV Size),125,3,3,1543280
Ahomushi,Koko wa Doko (TV Size),186,3,3,1005509
fhana,Boku o Mitsukete (TV Size),84,3,3,1003728
Airi Suzuki,Heart wa Oteage (TV Size),157,5,3,1826381
CINDERELLA PROJECT,Shine!!,174,5,3,1703779
ESTi,HELIX (Edit ver.),175,2,5,730814
Freda,Maybe (Tronix DJ Remix) (Nightcore Mix),169.35,10,2,289235
Kawada Mami,No buts!,183,3,3,23254
joy,Iolite (TV Size),174,5,3,1559665
dj TAKA with NAOKI,Kakumei,148,2,5,11792
hitomi,Go My Way,174.77,5,3,661
WalnutFaceBrand,C-O-C-A-I-N-E,178.26,7,2,5823
"Gumi (Megpoid), Kagamine Rin",Always and Forever,120,4,3,10007
TryHardNinja,Minecraft Style,132,7,2,63500
Marie,Shiroki Yami no Arabesque,100,2,3,746689
Kuribayashi Minami,Tsubasa wa Pleasure Line (TV Size),180,4,3,1253167
Petit Rabbit's,No Poi!,158,3,3,391817
Philipp Kirkorov,Tsvet nastroyeniya siniy,128,5,12,782498
OLDCODEX,Heading to Over (TV Size),220,3,3,951154
ZUN,Haru no Minato ni,155,2,5,914524
Kano,Stella-rium (TV Size),177,3,3,987181
Roselia,Charles,145,2,3,1032239
Ayane,Resilience,163,2,3,1008301
Kanon Wakeshima,Sakura Meikyuu,170,2,3,746205
Goto Yuko,Etto...Returns Shite Revenge!,180,3,3,32057
Basshunter,DOTA  (Sped Up),184.4,7,9,957
SEPHID feat. darkxixin,Fu Xiang Di Xin De Luo Ri Liu Hao ~ Little Raven,200,10,4,1173187
JUNNA,Kono Yubi Tomare,145,3,3,942476
Sylvan Esso,Radio (Demo Taped Remix),129.69,5,2,1242515
aran,VOLT (USAO Remix),184,10,5,732280
McClain Sisters,Go (Nightcore Mix),160,5,2,1643400
40mP,Usotsuki Maker,185,14,3,117222
Ishikawa Jun,Mini-Game,172.05,2,5,1530721
Ben Briggs,Yes (Maybe),128,10,5,933940
DIALOGUE+,Omoide Shiritori,172,5,3,1439210
TrySail,Lapis (TV Size),95,5,3,1655780
Sanshuu Chuugaku Yuushabu,Ashita no Hanatachi (TV Size),178,3,3,1694204
Kajiura Yuki,Pugna cum maga,90,3,5,853045
ClariS,Careless (TV Size),185,5,3,1538547
Symholic,Futari dake no Sekai,130,4,3,1336619
fulusu,serum,160,4,2,1259053
10lettername,Mario Kart In Detroit,92.5,7,2,1749468
Yuki Kajiura,moon and shadow,172,3,5,1831905
Little Glee Monster,Your Name (TV Size),120.05,5,3,1675222
Matsushita/nayuta,Love Vacation,172,5,3,1246919
Shinra-Bansho,M other,191,2,3,705025
The Paws Element,Koshki + Sobaki (Cut Ver.),140,4,12,1860076
DIALOGUE+,Omoide Shiritori (TV Size),172,3,3,1624315
lapix,Amazing Mirage,153,10,5,848697
solfa feat. Aoba Ringo,Itsuwari no Hana,100,4,3,1653301
JUNNA,Kono Yubi Tomare (TV Size),145,3,3,948360
Noah,Adrastea,167,11,5,1238516
Nanamori-chu * Goraku-bu,MY SWEET MEMORY,93,3,3,323026
Mewhan,Boku no Friend,163,5,3,1830159
"Sakura (CV: Kakuma Ai), Kiri (CV: Numakura Manami)","Akanezora, Kimi Mau Kouyou no Sanpomichi (TV Size)",90,3,3,1932452
Pastel*Palettes,Luminous Once More,169,4,3,1884593
Luce Twinkle Wink*,I'mpossible?,145,5,3,1464341
"Waka, Ruka from STAR*ANIS",Idol Katsudou! ~Ichigo & Akari Ver.~,190,5,3,1998555
Doubutsu Biscuits x PPP,Youkoso Japari Park e (TV Size),170,3,3,1781293
Luck Life,Namae o Yobu yo,82,4,3,1261295
Akitsuki Fuuka (CV: Lynn),Fair wind,190,3,3,880186
Hoshimi Production,Sayonara kara Hajimaru Monogatari,178,3,3,1522743
Takeya Yuki (CV: Minase Inori) & Naoki Miki (CV: Takahashi Rie),Pink no Heart Ball,168,3,3,1011236
HoneyWorks feat. Capi,Doutan * Kyohi,160,5,3,1685263
Hatsunetsumiko's,Pieces,172,2,3,339529
Okui Masami,Good-bye crisis,178,4,3,1479700
T-Pistonz+KMC,Supernova! (TV Size),164,5,3,1485806
ChouCho,Haiiro no Saga,184,5,3,1275028
Akatsuki Records,DOWN DOWN DOLL,173,2,3,891710
Ziyoou-vachi,Kaen,170,3,3,918188
WORLD ORDER,Let's start WW3,124,10,2,925682
Sound Souler,Bubble Flower,192,10,5,1152182
"Yamazaki Haruka, Tadokoro Azusa, Machico",Dreaming!,180,2,3,1385110
FictionJunction,Parallel Hearts,165,3,3,980656
ClariS,Careless (TV Size),185,3,3,1540855
Kagura Mea,Dadadada Tenshi (Cut Ver.),180,5,3,1219143
ChouCho,Ashita no Kimi sae Ireba Ii. (TV Size),178,3,3,1583554
cewer,thanks pat,196.52,4,5,1998409
QUARTET*RE-BOOT!,FUN FUN RE-BOOT,180,2,3,1985728
Grant Kirkhope,Diddy Kong vs Dogadon,160,2,5,8473
Liella!,WE WILL!! (TV Size),175,5,3,1810199
senya,Kimiiro Subliminal,150,2,3,377281
Sasha Asuka,Chiriyukutoki-FINAL-,137,2,3,8325
Shibayan,Boundary of Space,146,2,5,4428
Kinoshita Ringo (CV.Tamura Yukari),Cordless*Tere*PHONE,98,3,3,605271
Frums,XNOR XNOR XNOR,243,10,5,1335372
Culprate & Au5,Impulse,170,10,5,705788
a_hisa,Alexithymia | Lupinus | Tokei no Heya to Seishin Sekai,180,10,5,1054045
yanaginagi,here and there,136,3,3,749993
SawanoHiroyuki[nZk]:Yosh,BELONG,167,4,2,1140644
Angela Chang,Adventure of True Love,124.84,5,4,3301
"ANANT-GARDE EYES, Maeda Jun",Unjust Life,140,3,5,20265
Arashi,Oh Yeah!,139,5,3,11442
Mizuki Nana,Justice to Believe,140,5,3,2583
"NicoNico Chorus, Megurine Luka",Just Be Friends,128,5,3,8320
Tommy Heavenly6,Pray,178,3,3,5301
eufonius,Reflectia (TV Size),124,3,3,23953
Six Stones,"Patsany, ne teryayte rapir (feat. Maemiza)",95,9,12,930412
Fushigiboshi no Futago Hime Cast,Santa Claus is comin' to town,148,3,3,64635
Maaya Sakamoto,CLEAR,165,3,3,717166
The Chainsmokers,Closer (feat. Halsey),95,5,2,679724
eufonius,Hiyoku no Hane,148,5,3,1346489
Sangatsu no Phantasia,Sakasama no Lady,152,5,3,1283950
Giga,BRING IT ON,160,5,3,865490
ClariS,Prism,165,5,3,1413973
Galileo Galilei,Yotsuba Sagashi no Tabibito,150,4,3,908992
nano.RIPE,Azalea,160,4,3,1334552
Kaneko Chiharu,Zettai Reido,209,2,5,641201
R.E.M.,The One I Love,127.52,4,2,492850
ChouCho,Yasashisa no Riyuu,177,3,3,545331
wowaka,World's End Dancehall (ROCKETMAN remix),171,10,3,1086389
Minami,Kawaki o Ameku (TV Size),129,3,3,953256
OK Go,Do What You Want,135,4,2,1708
Lin-G,Sweet Dream,140,2,6,17137
M2U & NICODE,Myosotis (feat. Guriri & Lucy),160,2,2,643513
UverWorld,UNKNOWN ORCHESTRA,140,4,3,37
"Alicia Blacker, Clyde Shorey",Cage Fight,80,10,5,1488922
SAKURA*TRICK,Won(*3*)Chu KissMe! (TV Size),153,3,3,143362
ROUND TABLE feat. Nino,Let Me Be With You (TV Size),132.25,3,3,48366
Anna,Kiss no Yukue,127,3,3,5571
Sakura Merry-Men,Aikotoba (TV Size),132,3,3,41164
Daster,Ya Prigayu Vniz,160,9,12,77788
3OH!3,Deja Vu,128,5,2,17576
yanaginagi,over and over (TV Size),183,5,3,1830933
Minami,Kawaki wo Ameku,129,5,3,1707703
Rameses B,Prometheus,174,10,5,1625642
Fred V,Already Disappeared,174,10,2,1643829
Laur feat. Sennzai,Seclusion,175,10,3,1565487
Roselia,Yakusoku,123,4,3,1166149
Machico,Magical Happy Show !,145,2,3,809056
Yumeno Yuki,sign,132,2,3,895149
KAKO,if,164,2,3,847910
Dreamy crown,eternal promise,129,2,3,25669
Marika,quantum jump,130,2,3,183467
ChouCho,Niji no Asa ni,150,3,3,59418
FROZEN QUALIA,Present,175,4,3,1300435
FictionJunction YUUKA,Kioku no Mori,154,5,3,9108
Kohno Marika,LOVE&MOON (TV Size),121,3,3,1919305
Panic! At The Disco,Emperor's New Clothes,94.49,4,2,375957
onoken,felys final remix,180,10,5,1319560
Makkon,Winterglade,123,6,5,119931
Yamadori,Taiju e no Ino Uta,170,13,3,1879277
"BEMANI Sound Team ""Nekomata Master""",The last of world music,255,13,5,1060239
NJK Record feat. 3L,Last Dance Again,160,4,3,1594022
UPLIFT SPICE,Oni,200,4,3,1893909
ZUN,Guuzou ni Sekai o Yudanete ~ Idoratrize World,170,2,5,1813899
Akatsuki Records,"Yuuki Kairai, Arui wa Sono Ai to Saisei",158,2,3,904561
hitorie,Boatman,125,4,3,1903334
"Nitta Emi, Uchida Aya, Mimori Suzuko",Future style (Movie Edit),175,3,3,397719
Yorushika,Matasaburo,200,4,3,1497370
HoneyWorks feat. Hanon x Kotoha,Sis x Love,167,5,3,1358634
"25-ji, Nightcord de. x MEIKO",Lower one's eyes,132,5,3,1653529
Dreamcatcher,Mayday,174,5,6,806245
Bo Burnham,Welcome to the Internet,95,7,2,1487231
Adachi and Shimamura (CV: Kito Akari and Ito Miku),Merry-Go-Round (TV Size),120,3,3,1622915
bill wurtz,"the moon is made of cheese, but i can't taste it",94,5,2,1689938
Kali Uchis,telepatia,84,5,10,1552269
Virtual Riot,Prove Them Wrong,174,10,5,1216594
Toby Fox,Queen,170,2,5,1620099
FROZEN QUALIA,Watashi ni Kaeru Tabi,186,5,3,1650817
KOTOKO,bumpy-Jumpy!,190,5,3,1852279
KOTOKO,SWEET x SWEET,177,2,3,1411131
Marie,worthless,180,4,3,1665052
Ogura Yui,Clear Morning,103,5,3,1372477
Ogura Yui,Clear Morning,103,5,3,1676255
Inori Minase,Catch the Rainbow!,181,5,3,1668023
Perfume,TOKIMEKI LIGHTS,135,5,3,905269
A.SAKA,Nanatsu Issenzakura,172,10,5,511339
"Yamazaki Haruka, Tadokoro Azusa, Machico, Kouri Arisa, Minami Saki",Welcome!!,167,2,3,775016
Ruby Tuesday,Ready Now,135,2,2,14568
Sayuri,Sore wa Chiisana Hikari no Youna,144,3,3,430934
Sheena Ringo,The Heavy Metallic Girl,143,4,2,1949577
ThxSoMch,SPIT IN MY FACE!,188.25,4,2,1932820
Basco,goth girl,105,9,2,1602609
Kuba Oms,My Love,128,5,2,164758
subplaid,Jeg onskerikke a skade deg,175,6,2,244640
NBGI,Town,200,2,5,182948
Jed Whedon,So They Say,133.88,7,2,2432
Feryquitous feat. Sennzai,Misogi Kakuriyo e no Gi,90,10,3,1317309
NicolArmarfi,Generic Happy Music,120,2,5,556443
HoneyWorks,Ohayou no Asa,127.99,3,5,571221
Wataru Sena feat. sana,Hitori Tabi,140,5,3,861626
HoneyWorks feat. KAFU,Oshihen nante Yurusanai!,180,5,3,1885380
Kajiura Yuki,M12+13,150,3,5,42034
Bratz,Nobody's Girl (Nightcore Mix),92,5,2,105474
ChouCho,Authentic symphony (TV Size),175,3,3,258985
Aoi Eir,Lapis Lazuli (TV size ver.),112,3,3,301973
The Super Happy Fun Club,My Life's A Mess (Yeah Yeah Yeah),194,4,2,281401
iann dior,emotions,80.5,9,2,1138215
3oh!3,Still Around,74,5,2,4842
antiPLUR,One Life Left to Live,175,10,5,962141
ChamJam,Clover wish (TV Size),134,5,3,1105543
solfa feat. nao,Love Love Sensation (Short Ver.),187,2,3,1684879
Takagi-san (CV: Rie Takahashi),AM11:00,98,3,3,736332
Maon Kurosaki,Last Desire,170,3,3,772785
Iguchi Yuka,Hey World,180,3,3,988062
TRUSTRICK,FLYING FAFNIR,143,3,3,292535
fripSide,everlasting (TV Size),105,3,3,97257
Shimotsuki Haruka,Snow x Connect,121,2,3,337742
T & Sugah x NCT,Stardust (feat. Miyoki) (Cut Ver.),174,10,2,1518291
BUMP OF CHICKEN,Answer,133,3,3,1149108
Origami Angel,Say Less,170,4,2,1772140
Mili,Vulnerability,166,10,5,1919394
Misawa Sachika,Infinia,158,3,3,557699
Primary,Koizora,85,2,3,496995
Yoshiki Fukuyama,Work Guy (TV Size),240,3,3,5287
miko,Everlasting Snow,142,5,3,12601
Miyuki Hashimoto,Glossy:MMM,175,3,3,7895
MY FIRST STORY,Fukagyaku Replace (TV Size),200,4,3,1440058
Denzel Curry,RICKY,169,9,2,1650956
Yorushika,Tada Kimi ni Hare,140,4,3,1186908
"Kayano Ai, Hayami Saori, Hayami Shou",Fantastic Rabbit House,96.49,3,3,888363
Kugimiya Rie & Shiraishi Ryoko,Karakoi ~Dakara Shoujo wa Koi o Suru~ (TV Size),178,3,3,600977
Sati Akura,GATE ~Sore wa Akatsuki no You ni~ (TV Size),200,4,12,1039456
Mitsukiyo,Rolling Beat,170,10,5,1953422
Suara,Fuantei na Kamisama (TV Size),156,3,3,1148518
girl in red,we fell in love in october (Cut Ver.),130,4,2,1761177
METAROOM,PINK ORIGINS,185,10,5,1589495
Sakura Yuno,PROMISiNG,190,4,3,1950038
Iguchi Yuka,RE-ILLUSION (TV Size),193,5,3,1938336
Hijirime Laeria,stlaeria,186,4,3,1352739
Conan Gray,Heather,91.89,5,2,1338444
Trial & Error,Hoshizora Touhikou feat. Hatsune Miku,76,6,3,747331
East Clubbers,Easy Junkie,130,10,2,3595
Kevin Rudolf ft Lil Wayne,Let It Rock,112,5,2,4573
Tomatsu Haruka & Yahagi Sayuri,Apple Panic! (TV Size),158.1,3,3,9253
Joby Talbot,Journey of the Sorcerer,160.5,7,2,1269
Dan Bruington,"Ancient Knowledge, Buried Below",150,2,5,8474
Chihara Minori,Sakura Mau Kono Yakusoku no Chi de,209.92,3,3,7918
Corran,Cave Story Escape Route OC ReMix,93.79,2,5,1231
Doolittle,Birdie,136,2,2,5428
Masashi Hamauzu,"Showing Heart ""Dance of the Cornered Rat""",208,2,5,14913
Ketchup,ProjectUnreality,160,6,5,9077
David Wise,Jib Jig,125,2,5,7831
Wojciech Gassowski,M jak milosc (TV Size),98,5,13,872172
Alice In Videoland,Stuck On My Vision,141,10,2,3576
0,Lilo and Stitch: The Series Intro,107,7,2,2070
Amane,End of Dream,122,2,3,10245
Loos,Koi Yomi Zakura,168,5,3,11260
Daniele Meo,Adesso balla! (Handz Up Extended),140,10,11,822391
Devin Townsend,Ziltoidia Attaxx!!!,180,4,2,4219
Rickie Kinnen,Frei wie der Wind,118.7,3,8,243319
Loki,Quiet Village,105,13,5,1050693
onoken,K8107,180,10,5,807396
FictionJunction KEIKO,Kaze no Machi e,110,3,3,18391
A Touch Of Class,I'm In Heaven (When You Kiss Me),134,5,2,17677
Gitti & Erika,Heidi,116,3,8,408864
HO-KAGO TEA TIME,"NO, Thank You!",181,3,3,1006473
Freddie Dredd,Evil Fantasy,160,9,2,1327127
Trial & Error,"Sore ga Zenbu, Yume ni Tsunagaru (Short Ver.)",167,5,3,1120862
Mami Kawada,melty snow (Short ver.),99.75,2,3,300896
syrela,Pulsation,177,2,5,677886
HyuN,Guitian,165,2,5,891348
I.O,Lv.0,160,2,5,847116
Kurokotei,Valkyrie Attack,167,2,5,643961
Daughtry,I'll Fight,77.5,4,2,185426
Within Temptation,Frozen,144,4,2,32070
sweet ARMS,Date A Live (TV Size),178,5,3,1980943
yanaginagi,Strange Attractor (Cut Ver.),173,5,3,1570375
Wolpis Kater,Wasureji no Kotonoha,135,2,3,937736
Seina,Bubble Gun,146,10,3,1140973
Akiyama Kiro,Yugure ni Utsushite,220,4,3,1203114
Demetori,Desire Drive ~ Desire Dream,178,2,5,504396
Kaneko Chiharu,WHITEOUT,198,2,5,913022
Sana,White Eve,125,2,3,706566
Mizuki Nana,Junketsu Paradox (TV Size),160,4,3,1334815
TRUE,Soundscape(TV size),186,3,3,639319
Machico,Million Smile,178,5,3,1706195
Tomasz Karolak,Anarchia,160,4,13,6431
"ryo (supercell) feat. mafumafu, gaku",takt,181,5,3,1930058
King Gnu,Ichizu,160,4,3,1768259
ROUND TABLE feat. Nino,Puzzle (TV Size),166,3,3,19228
OBSYDIA,Black Out,150,5,2,1532556
Tyler Smyth and Andy Bane (Dangerkids),Infinite,140,2,2,663863
Ricky Montgomery,Line Without a Hook,190,4,2,1172523
sasakure.UK,Chimera feat. Annabel,165,5,3,1103928
Toraboruta,Kokoro,140,5,3,1130622
vivi,Have a good time!,136,2,3,1130109
Steriogram,Walkie Talkie Man,141.03,4,2,1356
yu_tokiwa.djw,rumrum triplets,192,2,3,1757985
Pendulum,Watercolour,174,10,2,16334
Sound Souler,Bubble Flower,192,10,5,1152177
Jorge Vercillo,Arco Iris,86,5,14,844390
Omoi,WAA!!!!,160,4,3,1296357
cordelia,Setsuna <= Imitation,198,4,3,1897323
Yuki Yomichi,DIVINE TUNING,188,4,3,1902990
Celldweller,Pulsar,86,4,5,1081119
Jinjin,pi,65.43,6,5,693550
Pastel*Palettes,Happy Synthesizer,127,2,3,932654
Higurashi TV Character Song,Hanyuu Nanodesu -remix-,140,3,3,2798
ORESAMA,Wonder Drive,160,3,3,619339
SEVENTEEN,Pretty U,155,5,6,910871
Apink,Remember,120,5,6,337616
IU,Nae Kkumeun Patissiere,172,3,6,477006
IU & Kim Yuna,Ice Flower (Feat. Kim Sehwang),87.95,5,6,89306
Girl's Day,Hello Bubble,107,5,6,322114
IU,Every End of the Day,109,5,6,80319
Baek Ji-young,After a Long Time,68,5,6,91353
KYUHYUN,At Gwanghwamun,68,5,6,513268
HOYO-MiX,Surreal Noctivaga,111,13,5,1960479
