art,t,bpm,g,ln,s
EGOIST,Namae no Nai Kaibutsu (TV Size),180,3,3,1508139
Junichi Masuda,Sentou! Mew,181,2,5,549036
CHiCO with HoneyWorks,Otome-domo yo. (TV Size),172,3,3,1004293
Vicetone & Tony Igy,Astronomia 2014,126,10,5,360107
O-Life Japan,Yakujinsama no Couple Dance,192,2,5,16990
ALiCE'S EMOTiON,Dark Flight Dreamer,189,2,3,1270628
Umeboshi Chazuke,ICHIBANBOSHI*ROCKET,234,10,5,1258751
amazarashi,Kisetsu wa Tsugitsugi Shindeiku -Tokyo Ghoul Root A Edit-,181,3,3,271339
Aoshima Moka (CV: Mimori Suzuko),kibo refrain (TV Size),172,3,3,1572192
Kobaryo,Theme for Psychopath Justice,183,10,5,1328918
ZUN,U.N. Owen Was Her?,155,2,5,13887
Coalamode.,Nanairo Symphony (TV Size),155,3,3,831389
R3 Music Box,"Yomi yori Kikoyu, Koukoku no Tou to Honoo no Shoujo.",80,6,5,968546
Tristam,Till it's Over,110,10,2,139415
Hanasaka Yui(CV: M.A.O),Harumachi Clover,142,3,3,558217
Aoshima Moka (CV: Mimori Suzuko),kibo refrain,172,3,3,715596
Primastella,Koigokoro,140,2,3,127712
Will Stetson,Harumachi Clover (Swing Arrangement),170,3,3,859783
Camellia,Towards The Horizon,154.4,10,5,629384
BTS,Blood Sweat & Tears,93,5,6,526328
Warak,REANIMATE,174,2,5,489190
Shouta Kageyama,Relic Song,154,2,5,107009
SUPER BEAVER,Rashisa,168,3,3,190486
Azuna Riko,keep weaving your spider way (TV Size),208,4,3,1672890
Nekomata Master,Welcome to tricoro system,155,2,5,1136293
Nekomata Master feat. Misawa Aki,chrono diver -fragment-,185,2,3,429665
suzumu feat.soraru,Zetsubousei: Hero Chiryouyaku The Animation,205,3,3,367646
EGOIST,The Everlasting Guilty Crown (TV Size),172,3,3,996696
Nomizu Iori,*** Passionate (TV Size),141,3,3,45811
Hello Sleepwalkers,Goya no Machiawase (TV Size),189,3,3,141329
Shota Kageyama,N no Dragon,192,2,5,1821381
Brad Breeck,Lucky Me (feat. Courtney Fortune),174,5,2,1708256
NateWantsToBattle feat. Amanda Lee,Kuusou Mesorogiwi,230,3,2,897035
S3RL feat Mixie Moon,FriendZoned,175,10,2,409164
Komiya Mao,(can you) understand me?,185,2,3,828703
Naoki & Tatsh,Red Zone,165,2,5,5731
eyemedia,Bloody Purity,155,2,5,147584
Kugimiya Rie. Horie Yui. Kitamura Eri,Orange,140,3,3,352714
BABYMETAL,Gimme chocolate!!,220,11,3,452230
HTT,"NO, Thank You! (TV Size)",181,3,3,18156
kors k as teranoid,Bad Maniacs,195,2,5,1423576
inabakumori,Lagtrain,147,4,3,1313664
Sleeping With Sirens,If You Can't Hang (Cut Ver.),192,4,2,1358902
R3 Music Box,FREEDOM DiVE,82.5,2,5,764245
Team.Nekokan[Neko] featuring. Katakiri Rekka,Salvage (TV Size),177.75,3,3,78506
OxT,Clattanoia (TV Size),190,4,3,1820929
3R2,Get On With It,153,2,5,1078679
ONE OK ROCK,NO SCARED,185,4,3,69779
Hatsune Miku,Uraomote Lovers,159,4,3,11375
Chili Tomato,Angel Gakuen no Ichinichi,94,2,5,172967
Kondo Koji,MAP4 (Native Star),126.91,2,5,1395792
*namirin,Koi no Hime Hime Pettanko,178,3,3,755852
Tamura Yukari,Fantastic future (TV Size),172,3,3,89366
Takahashi Yoko,Zankoku na Tenshi no These (TV Size),128.63,3,3,872723
Suzuyu,Mezameta Asa ni wa Kimi ga Tonari ni (TV Size),140,3,3,143812
Douglas Robb (Hoobastank),Fist Bump,217,2,2,779577
STYLE FIVE,SPLASH FREE (TV Size),128,3,3,103417
Harada Hitomi,Overdrive (Cut Ver.),182,3,3,1348363
Various Artists,Nightcore Mix Compilation,168.85,10,2,89289
Ito Kashitaro,Kiritorisen,165,2,3,831857
Nanahoshi Kangengakudan,Meikaruza,300,14,5,302756
NICO Touches the Walls,Diver,149,3,3,519090
MT Nightcore,Welcome To The Club,181.25,10,2,15489
Suara,Fuantei na Kamisama TV ver.,156,3,3,394829
ASCA,RESISTER (TV Size),183,3,3,909911
ensou ft. GUMI,COMA,180,2,14,589530
Brian the Sun,Lonely Go! (TV Size),204,3,3,1004417
TheFatRat,MAYDAY (feat. Laura Brehm),150,10,2,987012
BABYMETAL,Road of Resistance,205,11,3,1183643
BaconAkin,Yeah Boy - Shooting Stars,125,7,2,576426
"JO*STARS ~TOMMY, Coda, JIN~",JoJo Sono Chi no Kioku~end of THE WORLD~,220,3,3,269969
Lon,Mischievous Function,150,10,3,27441
Momokurotei Ichimon,Nippon Egao Hyakkei,160,3,3,59569
Kajiura Yuki,Sis puella magica!,148,3,14,318013
Shikai Yue,Telecaster B-boy,182,5,3,1498816
HO-KAGO TEA TIME,Kira Kira Days,200,3,3,444335
Herve Lavandier,Shuriken School (TV Size),160,3,5,1114339
Selphius,Padoru Padoru,120,2,3,1626959
