art,t,bpm,g,ln,s
THEATRE BROOK,Uragiri no Yuuyake -TV Size Long Ver.-,151,3,3,949071
Vanic,Samurai (Spirix Remix),150,10,2,592509
S3RL feat Sara,Techno Kitty,175,10,2,345450
ttbt,Makkuro Flandre S Shuuseiban,200,2,5,113458
Station Earth,Cold Green Eyes ft. Roos Denayer,174,10,2,716719
Komiya Mao,(can you) understand me?,185,2,3,455482
egor nats,ya zhenyus' na devochke iz anime,159.88,10,12,947717
An,artcore JINJA,190,2,5,114987
TRUE,Soundscape,186,5,3,534054
Sporty-O,Let Me Hit It (Audiostalkers Original Mix),128,10,5,788905
SawanoHiroyuki[nZk]:mizuki,&Z (TV size-English ver.-),158,3,2,259907
Hanasaka Yui(CV: M.A.O),Harumachi Clover,142,3,3,557733
Station Earth,Cold Green Eyes feat. Roos Denayer,174,10,2,1101976
Machico,fantastic dreamer,185,3,3,402887
Kozato,45nen no Yukizakura,170,2,5,50771
The Cab,Angel With A Shotgun (Sped Up Ver.),142.56,4,2,1174505
VINXIS,Sidetracked Day,188,10,5,728276
Sleeping With Sirens,If You Can't Hang,192,4,2,409025
LiSA,Catch the Moment -Radio Edit ver.-,190,3,3,570938
Mikuni Shimokawa,"Sore ga, Ai deshou",100,3,3,295946
LiSA,confidence driver (Cut Ver.),190,4,3,1228487
*namirin,Koi no Hime Hime Pettanko,178,3,3,485056
Lia,Bravely You (TV Size),150,3,3,374767
otetsu,"Minamo no Sakura, Yume wa Sakayume",200,13,3,385248
chano & 40mP,Natsukoi Hanabi,158,4,3,538998
Suara,Amakakeru Hoshi TV ver.,220,3,3,414667
TrySail,whiz -TV.Ver-,171,3,3,406025
"Fear, and Loathing in Las Vegas",Let Me Hear,184,3,3,260405
Farhan feat. GUMI,Dandelion,169,2,3,1180255
Will Stetson,Snow Halation (feat. BeasttrollMC),173,3,3,881764
THE ORAL CIGARETTES,GET BACK,192,4,3,853600
KISIDA KYODAN & THE AKEBOSI ROCKETS,GATE~Sore wa Akatsuki no you ni~ (TV size),200,3,3,346872
BoA,I Did It For Love,130.6,5,2,17331
Masato Nakamura,Eggman's Theme,133,2,5,71061
Momokurotei Ichimon,Nippon Egao Hyakkei,160,3,3,584520
S3RL,Bass Slut (Original Mix),175,10,2,375648
Ayane,GO Love&Peace,128,2,3,202661
Oomori Seiko,JUSTadICE (TV Size),185,3,3,983942
Yu Tokiwa,Shounen Ripples,210,2,3,763619
Nakajima Megumi,Hello! (TV Size),133,3,3,44844
yuikonnu,Souzou Forest,180,5,3,48368
TERRA,EDEN,200,2,3,500341
fourfolium,SAKURA Skip,165,3,3,474731
Suzuki Konomi,Redo,190,3,3,437055
Mrs. GREEN APPLE,Inferno (TV Size),185,3,3,999126
AKI AKANE,FIRST,190,4,3,293832
Yasuda Rei,Passcode 4854 (TV Size),140,5,3,1494410
CHiCO with HoneyWorks,Pride Kakumei,185,3,3,335534
SEMARGL,Credo Revolution (Zardonic Remix),175,10,5,876496
DJ Genericname,Dango Dango Drum and Bass,178,3,3,64636
ULTRA TOWER,Kibou no Uta (TV Size),177,3,3,446418
Rungran,d.m.c (Band Ver.),180,2,5,52203
Yamajet feat. Hiura Masako,Sunglow,180,2,3,595163
Ke$ha,Backstabber (Sped Up & Cut Ver.),176,5,2,1217044
LiSA,Datte Atashi no Hero. -TV ver.-,189,3,3,637445
fhana,Wonder Stella,193,3,3,362039
Tia,Heart Realize (TV Size),178,5,3,1525595
Kano,Stella-rium,177,3,3,386117
Project Grimoire,Caliburne ~Story of the Legendary sword~,190,2,5,335665
The Bobo's,Quinoa,123,6,7,462231
Yuuki Aoi,Cupid Review,137,3,3,268467
Nakamura Meiko,Core of Spark,195,5,3,798420
Serenity,Lionheart,180,11,2,1390922
Reol,MONSTER,164,5,3,661483
TUYU,Kako ni Torawarete Iru,180,5,3,1245686
Zensou Sagi no Hito,Ginza vs Ginza,200,2,5,638950
Mika Kobayashi,Through My Blood,192,3,2,473415
Roses Epicurean,Yoru no Kodomo tachi,115,5,3,503216
HERO,"""Tenohira"" (TV Size)",207,3,3,1091595
Galileo Galilei,Aoi Shiori,132,3,3,430926
Hanasaka Yui (CV: M.A.O) feat. Koalazy,Harumachi Clover (TV Size),142,3,3,780651
Suzuyu,Euphorium,186,2,3,779047
Roses Epicurean,Yoru no Kodomo-tachi,115,5,3,439731
GYZE,HONESTY,185,11,3,1108263
Noboru feat.Mitani Nana,Shiroi Yuki no Princess wa,200,4,3,439609
DJ Genericname,Dango Dango Daikazoku (Drum and Bass Remix),178,10,3,196813
Momohara Natsuki (CV: Murakawa Rie),Natsuzora Yell (TV Size),170,3,3,1028594
Drop,Granat,180.96,6,5,501992
Subplaid,If you went out with friends in a way,185,10,12,40327
Coda,Fighting Gold (TV Size),184,3,3,862547
LiSA,Kimi ni Pierrot,177,4,3,775766
Hanatan,Airman ga Taosenai (SOUND HOLIC Ver.),175,2,3,134151
fourfolium,Now Loading!!!!,193,3,3,480609
Karen Aoki & Daisuke Hasegawa,Great Days,170,3,3,570494
Rita,Dream Walker,175,2,3,50978
DECO*27,First Storm -Japanese Version-,190,4,3,808175
ryo (supercell) feat.chelly,Great Distance,197,2,3,329473
DJ Fresh,Gold Dust,177,10,2,935111
SPYAIR,Sakura Mitsutsuki,179,3,3,686601
Feint,We Won't Be Alone (feat. Laura Brehm),175,10,2,357539
Mike Greene,Bill Nye the Science Guy Theme Song (Chinese Intro),128,6,4,432314
Remo Prototype[CV: Hanamori Yumiri],Sendan Life,227,3,3,411894
Drop,Granat,180.96,6,5,155118
goreshit,benzo (with me eternal),197,10,5,935733
Inugami Korone & Nekomata Okayu,Hyadain's Jojo Yujo,200,3,3,1279298
Cornelius Link,Astronomia (Medieval Style),130,13,5,1159452
Cartoon,On & On (feat. Daniel Levi) (Cut Ver.),87,10,2,1400282
THE ORAL CIGARETTES,5150,192,4,3,705655
TrySail,Utsuroi (Short Ver.),208,2,3,1155295
Hommarju feat. R.Cena,Chousai Kenbo Sengen,200,3,3,30012
Katakiri Rekka & Suzuyu,Girl meets Love,185,2,3,333947
Ci Mei Gui,Wu Xuan Lan,167.91,2,5,828931
Kicco,Amazing sky,150,2,3,518097
Roselia,Six Trillion Years and Overnight Story,186,2,3,790041
Horie Yui,silky heart,135,3,3,358471
765PRO ALLSTARS,M@STERPIECE,128.01,3,3,235477
Unlucky Morpheus,FAITH,200,2,5,418441
Himeringo,Ringo Uri no Utakata Shoujo,225.2,5,3,752073
LONG SHOT PARTY,distance (NARUTO Ver.),198.5,3,3,632130
Nakagawa Shouko,Sorairo Days,174,3,3,393273
Hanasaka Yui(CV: M.A.O),Harumachi Clover,142,3,3,558217
ChouCho,Sora to Kimi no Message,130,3,3,366070
Lifetheory,Daisy,180,10,5,118494
"Post Malone, Swae Lee",Sunflower,90,3,2,895391
AKINO from bless4,MIIRO,195,3,3,259127
AKINO from bless4,MIIRO,195,3,3,263765
(K)NoW_NAME,Freesia,90,3,3,599556
Imperial Circus Dead Decadence,Uta,205,4,3,552726
AK X LYNX ft. Veela,Virtual Paradise,174,10,2,477725
Kankaku Piero,Haruka Mirai (TV Size),182,3,3,750743
Yiruma & Skullee,River Flows In You (A Love Note),140,10,5,68893
