m,b,x,pp99,adj,v,s,l,d,p,h,appr_h,k
0,1867710,0.03,41.38,102,Other Self,893725,209,2.52,14607,40062,429759,
0,114533,0.03,12.54,1,Kun Nan (Yi Ban),28648,81,1.61,98719,104531,365077,
0,375135,0.03,48.13,538,Pew's HD,151219,188,2.57,6121,78213,391642,7
0,1752464,0.03,43.02,102,Victor's Insane,832324,185,2.53,40014,38108,431669,
0,1746305,0.03,47.89,538,Everlasting,833674,300,2.71,9000,41016,428704,
0,769594,0.03,43.65,102,Stage 1,348939,422,2.69,4454,52964,417404,
256,1126758,0.03,51.87,1943,Mundus in dolore / YaHao's 4K Another,499185,150,3.58,128596,57570,412257,4
64,3242529,0.03,55.06,4107,Advanced,1587252,148,2.49,10465,11444,458235,4
0,1532288,0.03,48.84,538,Collab Extra,705655,115,2.69,97443,47552,422354,
0,769088,0.03,39.5,102,Advanced,347312,203,2.26,12314,69224,400557,
0,2607032,0.03,41.96,102,Personality,1254472,118,2.57,62049,22780,447057,
0,1710339,0.03,45.93,538,Wolf's Expert,792461,98,2.61,51129,35303,434329,
0,3850862,0.03,42.99,102,Sephira's Advanced,1871561,104,2.58,2449,5958,463814,4
64,3160677,0.03,53.81,1943,Nymphe's HARD,1533028,355,2.46,166998,16448,453328,
0,1351275,0.03,44.07,102,Hard,623502,95,2.49,2826,3205,466494,4
0,1562306,0.03,21.87,1,Mentai's Insane,740535,86,2.28,899082,46858,423006,
0,44467,0.03,41.41,102,Insane,11693,88,3.38,5541,119025,350597,
64,172609,0.03,63.38,5221,Faster,29157,208,2.5,29946,95363,374254,
0,3529412,0.03,51.79,1943,Expert,1727027,82,2.99,2203,10233,459545,
0,728289,0.03,40.43,102,Hard,328356,218,2.46,34049,69851,399925,4
0,85118,0.03,2.31,1,Easy,25122,81,0.95,201514,108374,361234,
0,1520810,0.03,51.25,1943,Insane,720306,87,2.88,3654,46027,424388,
0,308479,0.03,39.73,102,Hard,120257,84,2.24,320960,85739,383869,
0,295504,0.03,40.55,102,Laurier's Insane,93747,87,2.43,89911,85644,383964,
64,3235379,0.03,60.92,5221,Matthewwwwww's Normal,1578629,59,2.38,6740,12704,457143,4
0,289752,0.03,41.08,102,Refrain,111386,483,2.19,30403,80821,389267,
64,2397875,0.03,25.28,2,Yahuri-sama's Normal?,1147361,88,1.68,1209672,28514,441118,
0,2462333,0.03,47.8,538,Promise of the Wheat God,1180913,179,2.72,7848,26981,442803,
0,112583,0.03,50.64,1943,Sumisola's Insane,29317,85,2.68,53321,104865,364743,
0,1988753,0.03,42.01,102,Radiance,952409,66,2.67,3072105,37469,432333,
0,2268148,0.03,52.6,1943,Ethical Dilemma,1084585,100,3.57,7154,17326,452370,
0,2598843,0.03,47.21,538,Kudowari's Expert,1250456,89,2.57,13515,25349,444483,
0,2025275,0.03,45.1,538,Overdose,967807,178,2.61,7915,24139,445865,
0,1300889,0.03,42.28,102,Matteru,552856,132,2.75,17641,54193,415584,
64,983680,0.03,65.29,5546,Extra,459149,42,2.58,1270887,60190,409647,
64,1280969,0.03,50.38,1943,Normal,606334,223,2.12,68139,44731,425130,4
64,2730461,0.03,67.03,5546,Kudosu & Ermi's Fight for Freedom,1317896,87,2.83,38095,22925,446862,
0,3969332,0.03,16.13,1,Insane,1916289,57,2.41,10692,4410,465236,
0,3414727,0.03,48.47,538,WASHEDUP'S INSANE,1670899,89,2.69,62487,13317,456560,
0,2217569,0.03,46.47,538,Target On!,1013091,89,2.6,27297,30928,438824,
0,2443285,0.03,47.81,538,Extra,1171292,89,2.74,10862,22566,447281,
0,2052319,0.03,44.63,538,Bravery,980656,267,2.61,1692,35896,433880,
0,965494,0.03,52.27,1943,wa's Insane,399151,243,2.72,274877,62236,407540,
0,1780649,0.03,47.22,538,Insane,851768,186,2.93,2880,40831,428890,
0,96017,0.03,42.15,102,Orpheus Telos,28856,89,2.46,17096,94592,375048,
0,919499,0.03,43.08,102,Collab Hard,395657,262,2.32,15838,62607,407197,
0,146985,0.03,47.93,538,Extra,47330,117,3.36,101172,96978,372675,
0,53926,0.03,44.23,102,Another,14774,123,3.05,27711,116350,353271,
0,3382521,0.03,49.06,538,Apprehension,1657227,171,2.79,6244,7715,462084,
0,821298,0.03,41.14,102,Extra,374937,83,2.77,43722,63851,405926,
0,83715,0.03,52.19,1943,Casual Cat,23754,87,2.54,32848,98103,371507,
0,2629543,0.03,51.84,1943,Sonnyc's Expert,1062273,215,2.89,1528,19285,450555,
0,1607294,0.03,54.73,4107,NiNo's Insane,763619,108,2.75,43065,46092,423635,
0,2195763,0.03,38.08,25,FuJu's Insane,999126,81,2.69,43074,32810,436989,
0,3670300,0.03,3.95,1,Glaceon's Easy,1786642,189,0.91,10121,5352,464426,
64,1247427,0.03,43.77,102,Lefrave's Normal,589167,54,1.97,19170,51202,418653,4
0,1928802,0.03,46.9,538,Gaia's Special,875667,112,2.66,2115,37531,432137,
0,2477451,0.03,54.85,4107,Ash-like Snow,1188929,87,2.82,10085,25429,444449,
0,2703521,0.03,45.8,538,Place of Sacredness,1303762,88,3.37,5625,17061,452734,
0,2123906,0.03,46.25,538,Haruto's Extra,999126,89,2.66,12834,32810,436989,
0,2908442,0.03,41.16,102,Nice's Normal,1410727,235,2.3,9012,20435,449362,
0,1348014,0.03,44.86,538,Love,635275,87,2.73,375794,52745,417239,
0,1592193,0.03,41.71,102,Ky's Hard,756067,63,2.45,27837,45516,424112,
256,869922,0.03,46.17,538,MX 'Purple Heart',399702,91,3.28,34245,62966,406814,4
0,473218,0.03,52.94,1943,Fycho's Insane,184139,79,2.61,74551,77265,392511,
0,214038,0.03,43.7,102,popner's Insane,72658,86,2.58,70276,90878,378760,
0,2219809,0.03,49.98,1943,Expert,1060156,138,2.89,6192,30031,439768,
0,1632044,0.03,42.68,102,GERO'S HARD,739262,204,2.18,279486,44803,425010,
64,23361,0.03,53.24,1943,Hard,4118,91,2.4,7690,128403,341356,
0,935997,0.03,47.4,538,Regraz's Light Insane,425219,75,2.5,43821,50781,418997,
258,1217803,0.03,51.51,1943,11.186 km/s,575053,327,5.28,115990,53884,415951,4
0,1883153,0.03,1.66,1,Easy,901880,87,1.02,472923,39524,430312,
0,1592896,0.03,4.09,1,Easy,754219,79,1.06,466479,45378,424400,
64,1300889,0.03,41.18,102,Matteru,552856,132,2.75,17641,54193,415584,
0,102371,0.03,45.13,538,Hard,31100,211,2.72,51728,105283,364326,
0,536191,0.03,24.72,2,xxdeathx's Hard,219107,80,2.1,484239,73744,396033,
0,2079152,0.03,43.6,102,Extra,994389,74,2.59,24795,33293,436503,
0,2138684,0.03,45.06,538,Asuka_-'s Insane,1020360,84,2.76,23526,34427,435341,
2,3770869,0.03,40.76,102,Stelar's Hard,1836594,231,3.33,4639,6482,463235,4
2,2515104,0.03,49.04,538,Rem's EXPERT,1185688,137,3.5,45262,19855,449812,4
0,1945807,0.03,42.23,102,Maffe's Extra,918580,88,2.61,27054,34008,435752,
0,3421152,0.03,44.47,102,Fsjallink's Insane,1626881,173,2.38,2120,12897,456920,
0,693412,0.03,47.04,538,Intricate,304672,221,2.92,5320,68383,401491,
64,3517947,0.03,52.64,1943,Normal,1720379,244,1.96,9403,10597,459193,4
0,1368231,0.03,58.55,4107,Phantasm,645726,310,4.1,5472,41268,428546,
256,3100241,0.03,46.49,538,Miaurichesu's Hyper,1506614,114,3.42,8398,6434,463303,4
0,1971289,0.03,45.73,538,Bravery,943927,109,2.61,13671,35967,434051,
0,1579854,0.03,45.61,538,Extra,750166,106,2.92,21690,43689,426134,
0,1080918,0.03,48.19,538,FCL's Hard,505277,76,2.44,9128,57680,412128,
0,346645,0.03,50.72,1943,S.Star's Hard Style,136889,127,2.41,28217,83652,386145,4
0,2046464,0.03,0,1,Keitaro's Hard,937624,176,2.31,17901,32737,437040,
0,3407301,0.03,64.4,5221,Extra,1664049,130,2.94,9700,12557,457235,
0,486455,0.03,45.81,538,Hard,204399,135,2.4,30997,72488,397288,
0,2521163,0.03,46.33,538,suyuko's Expert,1187485,67,2.76,16880,21792,448027,
0,196222,0.03,44.29,102,Haiboku,67554,176,2.67,37555,88311,381297,
64,1578920,0.03,46.91,538,ExNeko's Normal,707164,135,1.96,23463,39874,429855,4
0,3572365,0.03,44.22,102,Insane,1746488,287,3.13,562,8693,461083,
0,816647,0.03,45.38,538,Frey's Hard,369058,188,2.45,42374,54709,415067,
0,56062,0.03,42.59,102,Hard,15489,172,2.35,900272,115118,354496,
0,3863164,0.03,44.59,538,Amateurre's Extreme,1863866,195,2.92,4363,5577,464218,
0,1937553,0.03,49.66,1943,toyruto's Insane,927646,253,3,16029,38497,431290,
0,1529181,0.03,0,1,Tofu's 4K Easy Lv.5,636272,141,1.37,50022,47628,422186,4
0,1128446,0.03,48.19,538,Insane,532545,86,2.59,35103,56866,412910,
0,3051900,0.03,44.59,538,Turquoisee's Hard,1465638,202,2.54,11000,16345,453432,
0,460007,0.03,42.66,102,Cloud's Hard,192824,87,2.28,108768,77890,391886,
256,3549190,0.03,51.4,1943,Insane,1736577,262,4.26,1703,3490,466382,4
0,3595096,0.03,47.7,538,Trust,1756776,168,2.9,2644,9279,460503,
0,1778453,0.03,48.25,538,Presto,850663,208,2.91,25110,41220,428437,
64,2952287,0.03,56.95,4107,Kyle73's Expert,1434635,86,2.64,11658,18503,451259,
0,524404,0.03,24.33,1,NM,224498,88,1.83,45265,69446,400546,4
64,2560420,0.03,13.03,1,Feru's 7K EZ,1231682,86,1.29,5831,21103,448812,7
0,2913575,0.03,62.99,5221,EXPERT,1413418,128,3.14,1453,18531,451297,
0,1982308,0.03,13.65,1,Insane,949297,120,2.31,37359,37518,432278,
64,1342251,0.03,30.85,6,Akitoshi's Normal,597152,68,1.68,73737,47190,422608,
0,1538271,0.03,41.88,102,Bariton's Expert,725852,78,2.68,17928,46109,423675,
0,910865,0.03,36.62,25,Leaf's Hard,404289,197,2.28,30668,62942,406843,
0,2778368,0.03,56.18,4107,yf's Extra(#3),1318329,119,3.24,1074,15975,453801,
64,2169344,0.03,42.39,102,Normal,981053,127,1.75,45225,32607,437605,4
0,1414762,0.03,47.16,538,Hymn,668799,366,2.99,12168,51111,418737,
0,1603944,0.03,45.07,538,papapa's Hard,734194,270,2.4,5445,26865,442889,
0,1017007,0.03,17.04,1,Normal,474731,88,1.86,81042,61513,408288,
0,3109226,0.03,50.32,1943,Shooting Star,1518924,227,2.79,7586,9933,459926,
0,1922893,0.03,11.06,1,Hard,905158,191,2.11,59337,38404,431372,
0,1755497,0.03,45.69,538,Extra,838515,256,3,29754,41073,428731,
0,2232118,0.03,47.29,538,Lafa's Insane,1037349,262,2.82,4986,31250,438528,
256,723147,0.03,45.61,538,ADVANCED,325566,114,3.55,106218,68615,401262,4
0,3498256,0.03,42.79,102,Mimari's Insane,1710014,86,2.72,5101,11411,458369,
0,24571,0.03,47.96,538,Epic Marathon!,4601,528,2.43,44463,121923,347256,
0,2165262,0.03,42.64,102,Last Shot,1035680,83,2.66,4599,32535,437208,
64,3272627,0.03,56.95,4107,yf's EZ Expert,1601642,29,2.6,2058,5960,463690,
0,2098940,0.03,52.77,1943,WARSHIP,1002819,90,2.76,3681,32907,436771,
0,1699306,0.03,47.91,538,Insane,787583,108,2.73,59661,41767,428027,
0,2771743,0.03,44.16,102,Cute,1338034,257,2.63,13499,19059,450725,
0,2692923,0.03,50.68,1943,Yume,1298234,87,2.93,4840,22042,447783,
0,1819851,0.03,40.54,102,Hard,870930,81,2.56,8136,39915,429742,
0,691391,0.03,38.3,25,Hard,309237,242,2.41,22426,70883,398894,4
0,770727,0.03,42.54,102,Insane,349504,84,2.67,31744,66541,403275,
0,31336,0.03,39.57,102,DJPop's Difficulty,7151,63,2.56,7883,123824,345807,
0,1169864,0.03,40.65,102,Flask's Expert,480765,91,2.65,18886,54607,415193,
0,332192,0.03,44.28,102,Kyversible's Insane,131818,178,2.58,94423,82539,387238,
0,719657,0.03,47.36,538,SWORD,323837,123,2.79,19702,64092,405684,
0,35830,0.03,0,1,Easy,8834,94,1.3,160134,122034,347574,
0,3726940,0.03,45.7,538,NiNo & lealu's Insane.,1704681,203,2.72,8331,8692,461084,
0,107747,0.03,36.74,25,AlrdyExists' Blizzard,32499,222,2.52,31070,101573,368047,
0,2977648,0.03,42.63,102,Hard,1425164,210,2.47,9277,19199,450603,
256,2654194,0.03,44.56,538,Hyper!,1277503,131,3.03,88502,22258,447518,4
0,4040831,0.03,56.06,4107,Kazuha's Clockworks (unknown Mapper: Kyou),1912251,88,3.1,903,2084,467817,
0,2891302,0.03,6.55,1,Sya's Easy,1391279,130,1.28,36974,18837,450939,4
0,2051808,0.03,36.47,25,Extreme,980453,121,2.47,130005,35048,434753,
256,1469011,0.03,37.09,25,Umo's HD,694349,96,2.91,127278,46672,423278,4
0,3797602,0.03,41.9,102,Pepekcz's Hard,1836982,209,2.52,3625,6538,463240,
64,72170,0.03,23.76,1,Normal,7888,153,1.47,11774,112225,357402,
0,1092402,0.03,28.66,2,Your Song,514204,301,2.1,226030,59439,410439,
64,1701215,0.02,902.9,8,Be Happy,810911,366,6.64,9729,42574,427305,7
64,3594454,0.02,845.77,7,Jinjin's Binary Shimmer,314017,116,7.61,9366,7946,461815,7
64,2552545,0.02,854.75,11,Domination,1176967,581,6.46,2110,26167,443622,7
64,2566506,0.02,830.89,11,Imaginary Theorem,1234605,375,6.59,4855,22044,447754,7
64,1023967,0.02,779.72,9,jakads' Extra,407153,144,7.62,35371,54636,415147,7
64,3797369,0.02,920.45,7,Jinjin's Synthesis,1847997,132,7.78,7855,5600,464199,7
64,2254450,0.02,781.01,9,6K Eternity,634232,213,6.38,1625,20894,448886,6
64,548945,0.02,625.45,30,Afterword,154929,128,6.35,31026,68508,401373,7
64,983833,0.02,517.76,106,Repentance,459200,315,5.67,17325,60307,409526,7
64,464731,0.02,517.01,106,7K Another,195940,169,5.12,25549,70809,398968,7
64,2241040,0.02,578.68,39,Orientalism,1070605,113,5.57,5724,26434,443574,7
0,3495437,0.02,559.57,69,Flying in the Shadow,1710650,278,7.4,2119,11630,458149,7
64,647117,0.02,482.74,132,Mania 7K Collab,285577,352,5.18,9630,49938,419839,7
64,3595258,0.02,448.37,172,Final Stage,1756832,120,5.86,605,2842,466935,7
64,3935369,0.02,630.12,21,After Ragnarok // 4K,1908304,552,7.23,3950,3927,465849,4
64,2654196,0.02,542.78,78,Picnic!,1277503,131,5.14,45113,22258,447518,4
64,459602,0.02,483.56,132,Fullerene's 6K Grand Finale,171880,377,5.97,5571,66607,403217,6
64,4115481,0.02,588.86,44,INFERNO,1981845,178,5.26,1126,595,469235,4
64,865372,0.02,340.01,394,Insane,386950,242,4.5,75927,58795,411003,4
64,1002341,0.02,402.5,275,Special Lv. 16,468634,134,4.43,44626,58626,411180,4
64,829747,0.02,429.47,222,Zan's Blue Another,376340,112,4.66,161287,65169,404619,4
64,1017927,0.02,429.54,240,GRAVITY,476565,119,4.94,112213,61640,408136,4
64,3413572,0.02,357.92,385,Another,1671244,149,4.61,6222,7542,462242,4
64,2532343,0.02,316.73,533,REMINISCENCE,1217089,189,4.83,1690,23630,446148,7
0,3512199,0.02,287.41,735,Future,1718639,152,6.31,475,4882,464973,7
64,2651311,0.02,380.18,344,Chicken's Precious,1242820,189,4.58,27183,17916,451869,4
0,420908,0.02,118.48,3715,Salut.soleil!,174304,213,3.81,5039,75481,394327,7
0,645315,0.02,1.64,1,4K Beginner,283841,96,0.84,83984,69462,400572,4
64,2324481,0.02,430.27,240,HARDCORE NINJA,1112619,121,4.85,25715,15945,453791,4
64,1223404,0.02,374.13,306,TIDAL_STORM,539179,221,4.87,5607,31625,438151,6
0,2581514,0.02,175.85,2333,Insane,1223204,87,4.4,1735,20793,448994,7
64,1926200,0.02,393.78,290,4K Another,922352,114,4.67,37278,33594,436195,4
64,1742099,0.02,389.22,346,Maximum,831522,128,4.79,1528,878,468975,4
0,971307,0.02,24.21,1,Dell's NM 'Cool',451567,87,2.02,158951,61625,408207,4
0,1172739,0.02,22.48,1,NM,553866,36,2,115274,54961,414815,4
64,2585561,0.02,58.81,4107,6K // NM,1161093,192,2.25,8229,15841,454028,6
64,1900495,0.02,386.45,346,EXHAUST,908415,202,4.45,46503,33777,436785,4
64,1624796,0.02,397.08,311,Another,772809,151,4.54,49221,40666,429278,4
64,641641,0.02,244.44,1215,8K Another,283841,96,4.24,3357,69462,400572,8
64,1443372,0.02,26.69,2,EZ,682518,29,1.46,74106,42344,427482,4
64,4117650,0.02,307.06,622,(L)ove (I)n (E)ternity,1982752,210,4.22,5060,1669,467979,4
64,836764,0.02,351.96,396,EXHAUST,382668,110,4.4,68668,64171,405610,4
0,3168853,0.02,281.44,751,Extreme,1305249,264,5.44,1685,11291,458349,4
64,1216040,0.02,325.47,508,MX,574129,125,4.24,29628,47553,422250,4
64,4094055,0.02,288.2,735,C1ty,1972972,196,4.49,289,1841,467960,4
64,1917567,0.02,281.12,751,Insane,884441,227,4.03,51633,38544,431246,4
64,1017984,0.02,328.91,508,Another,476589,118,4.06,23038,58841,410935,4
64,2779872,0.02,347.84,442,Eternity,1341998,97,4.28,20254,20157,449619,4
64,2367633,0.02,308.89,622,Lirai's Expert,1103802,116,4.16,53283,25229,444561,4
64,1295745,0.02,280.33,751,Future,590341,156,4.01,88150,53827,415977,4
64,3551214,0.02,272.75,850,Gahyeonln's Destiny,1722017,90,4.19,4086,9538,460243,4
64,1090281,0.02,283.73,751,EXHAUST,513064,114,4.22,75656,58121,411655,4
64,1475968,0.02,290.05,694,Insane,672440,168,4.5,5427,36617,433213,7
64,3857633,0.02,337.75,453,4k Another | Quasar,1846313,193,4.27,2766,5507,464271,4
0,2301343,0.02,284.05,751,7 Stages of Intoxication,1101599,148,5.17,1609,20384,449392,4
64,2841386,0.02,271.48,850,EXHAUST,1219293,106,4.19,32478,14771,455008,4
64,804001,0.02,278.97,817,Lunatic,366362,116,4.05,95091,61505,408271,4
0,1505212,0.02,270.26,850,"Unagi Onigiri ""UHD""",663098,169,5.2,7866,46859,422967,4
64,659683,0.02,227.84,1460,EXHAUST,293235,108,4.35,98402,70959,398829,4
64,3682712,0.02,310.69,560,Insane,1778535,141,4.32,3722,6097,463685,4
64,2260043,0.02,315.32,533,FAMoss' Insane,1078388,217,4.16,14806,18430,451359,4
64,968643,0.02,283.3,751,MX 'Coolest',451567,87,3.93,127774,61625,408207,4
64,1486446,0.02,286.2,735,Chilly,524256,343,3.99,21429,46125,423738,4
64,4045249,0.02,259.35,942,Everlasting Memories,1953393,85,4.05,1928,2564,467213,4
0,71080,0.02,122.54,3365,BD's Mittens,20328,48,3.66,60012,109853,359837,
64,2323855,0.02,227.9,1460,MX,939798,228,3.89,43957,21810,447967,4
64,3102197,0.02,251.26,1066,Reina's 7K Insane,1425200,87,4.09,10066,17269,452390,7
64,3469002,0.02,281.4,751,Fapu's 4K Railroad Romanesque,1574211,299,4.05,6054,12737,457039,4
64,2567992,0.02,215.75,1637,ADVANCED,1235288,116,3.56,85175,21995,448041,4
0,3920602,0.02,241.48,1215,Black Another,1901099,129,5.32,354,1440,468471,7
0,702153,0.02,6.21,1,7K Beginner,187154,110,1.39,40516,69394,400454,7
64,3740517,0.02,281.74,751,Anzu,1821966,117,4.26,1865,4040,465755,4
0,50836,0.02,41.3,102,DJPop's Normal+,13737,79,2.53,130765,117314,352307,
64,2556832,0.02,240.29,1215,BLOOM!,1229748,89,3.67,11313,20794,448942,4
0,3182825,0.02,62.67,5221,Elekton's 4K Infatuation,1558101,158,3.06,7118,15655,454129,4
64,746614,0.02,269.18,874,Tremor,328684,417,3.82,25915,65786,403991,4
64,2553647,0.02,272.99,850,Insane,1226466,114,3.92,21497,23990,445812,4
64,1404405,0.02,257.13,942,Amii's Insane,663499,99,3.97,59616,44949,424887,4
64,1270508,0.02,271.03,850,Insanity,601403,96,3.83,20961,49115,420776,4
64,750774,0.02,221.13,1576,EXTRA,339362,92,3.82,29313,68990,400934,4
64,3083498,0.02,255.28,942,Crazy,1505336,111,3.96,21596,16456,453322,4
64,2793919,0.02,237.2,1282,FAMoss' Insane,1330313,123,4.03,14971,20219,449563,4
64,789905,0.02,208.54,1765,Shirou's EXHAUST,359196,118,3.77,161066,68038,401808,4
64,2960345,0.02,221.72,1576,Insane,1246715,87,3.78,6444,12179,457597,4
64,1126758,0.02,203.71,1864,Mundus in dolore / YaHao's 4K Another,499185,150,3.58,128596,57570,412257,4
64,477955,0.02,272.76,850,Shiki's SC,187538,88,4.15,58522,75474,394303,4
64,2755971,0.02,238.63,1282,Expert,1330167,90,3.67,10416,16447,453205,4
0,701001,0.02,87.77,4697,Insane,312601,129,3.64,6749,69189,400606,6
0,829152,0.02,52.72,1943,8K Lv.10,378705,114,3.24,4699,66491,403404,8
64,3223324,0.02,201.44,1864,Insane,1578629,59,3.89,12759,12704,457143,4
0,1277797,0.02,58.18,4107,Insane,569392,192,3.56,14652,48456,421328,4
0,3505827,0.02,24.21,1,DH's Normal,1710155,91,1.9,4092,11469,458307,4
0,3737805,0.02,82.78,5057,Rippling Water,1490712,100,3.71,1421,4800,464981,4
0,2944004,0.02,31.43,6,Normal,1430064,201,2.11,119099,19018,450759,4
0,1211270,0.02,19.77,1,4K Normal,571547,30,1.91,233399,54503,415273,4
0,748486,0.02,16.17,1,Lv.7,332623,88,1.96,215733,68156,401695,4
0,3578727,0.02,212,1655,10-Bit!,1749412,192,5.51,261,9405,460371,10
0,256725,0.02,56.55,4107,6K Autumn,95635,202,3.15,15772,86069,383652,6
64,364662,0.02,136.15,3010,4K MX,147281,88,3.22,81267,82102,388024,4
0,244597,0.02,45.04,538,LV.13,90042,111,2.65,57133,89205,380461,7
0,3794349,0.02,60.67,5221,Hard,1258152,87,3.14,1674,7398,462378,7
64,2333972,0.02,224.55,1460,ADVANCED,1117248,119,3.48,68163,24008,445727,4
64,4125365,0.02,169.3,2531,Sava's Insane,1986014,31,3.31,2616,1907,467880,4
64,2651549,0.02,224.42,1576,Promise,1276197,78,3.91,2921,21966,447822,7
0,1035898,0.02,50.86,1943,Expert,485788,82,2.84,47386,61433,408567,
0,3920706,0.02,123.76,3365,Another,1901099,129,4.16,646,1440,468471,7
64,2353974,0.02,193.12,2105,ADVANCED,1104341,139,3.35,69772,23863,445889,4
0,522521,0.02,23.56,1,4K Normal,195940,169,1.94,222499,70809,398968,4
0,3468304,0.02,12.61,1,BASIC,1697584,119,1.64,1664,6329,463453,4
0,1799517,0.02,5.52,1,Easy,860047,88,1.35,119547,39422,430430,4
0,3190416,0.02,24.82,2,Sies' Normal,1561624,86,2.11,7198,9548,460097,4
0,802909,0.02,21.99,1,Normal,363594,88,1.87,281145,63415,406361,4
0,3227821,0.02,102.79,3983,Decku's 6K Clarity,1475830,88,4.29,1004,12809,456973,6
64,3014736,0.02,150.53,2788,Hard,1465690,99,3.17,24876,15309,454467,4
0,3673021,0.02,55.72,4107,4K Purr,1792369,30,2.99,2465,2613,467166,4
64,3189310,0.02,220.76,1576,Tempest,1561624,86,3.73,6633,9548,460097,4
64,299038,0.02,184.57,2138,Pew's SHD,106212,118,4.53,11142,85208,384400,7
0,3055698,0.02,138.79,3010,Breakthrough,1490725,322,4.52,4169,16160,453545,4
64,3548187,0.02,244.99,1152,Maiden,1736080,87,3.86,2773,8794,460850,4
256,4115385,0.02,222.95,1576,GOD,1981845,178,6.37,2418,595,469235,4
64,1869523,0.02,174.73,2333,Voxa's Hard,894666,151,3.21,50436,23359,446608,4
64,3160725,0.02,185.21,2138,Insane,1545844,94,3.71,2609,9615,460039,4
0,3397529,0.02,83.49,5057,Target,1664254,95,3.37,11532,11651,458050,4
0,37845,0.02,7.86,1,Normal,9430,74,1.52,785775,117982,351729,
0,3192596,0.02,127.53,3374,7K Lv.28,1563407,148,4.56,1006,3180,466598,7
0,2891114,0.02,62.37,5221,Hyper,1401516,130,3.1,3194,10976,458800,7
64,1157558,0.02,89.57,4348,Lv. 3,546168,117,2.65,33327,43243,428764,4
0,2933387,0.02,162.45,2644,Vortex-'s Fatal,1378602,113,4.31,2584,19177,450574,4
0,1428213,0.02,98.13,4190,Deviant Star,675074,331,3.74,9765,44568,425223,4
0,1948492,0.02,120.59,3365,LeiN-'s MASTER,860089,120,4.06,5778,35842,434043,4
64,3824959,0.02,166.48,2531,4k Hyper | Supernova,1846313,193,3.25,3144,5507,464271,4
0,659684,0.02,33,6,NOVICE,293235,108,2.15,381943,70959,398829,4
0,2437571,0.02,30.2,6,NORMAL,1167660,172,2.08,118852,22596,447192,4
64,3531901,0.02,218.51,1637,Insane,1726352,164,3.76,2115,5802,464135,4
64,659148,0.02,134.93,3010,ADVANCED Lv.11,292936,119,3.24,190790,72193,397583,4
0,693779,0.02,15.55,1,7K Normal,187154,110,2.05,55548,69394,400454,7
64,3489518,0.02,194.57,2045,Goodbye,1707723,183,3.63,2591,7065,462728,4
64,2988737,0.02,206.16,1765,Chocrates,1453807,107,3.96,5861,14544,455232,4
0,1582597,0.02,21.7,1,Normal,751774,187,2,97029,45868,423915,
0,3890692,0.02,125.9,3374,Para Bellum,1889111,255,5.06,1025,2650,467474,
0,3706564,0.02,46.19,538,Hard,1807327,86,2.56,2063,2375,467402,4
256,3205077,0.02,153.54,2788,Rainbow Road Revolution,1569527,410,5.83,4889,14259,455517,4
0,3687295,0.02,81.85,5057,Mihyo_San's Hard,1743472,223,3.3,787,5673,464104,6
64,713954,0.02,168.63,2531,Avalon's ADVANCED Lv.14,320905,113,3.43,70403,67241,402576,4
64,2368253,0.02,133.15,3262,Ferdi's Hard,1126766,89,3.18,9420,7927,461857,4
0,2843418,0.02,110.02,3701,Cosmic Flavored Secret Chocolate,1375617,76,4.35,2152,18430,451367,
0,1513623,0.02,49.47,538,Expert,716441,159,3.3,34038,48338,421509,
0,1897802,0.02,135.32,3010,Ketsueki,761881,404,4.6,9477,39168,430468,
0,1936645,0.02,13.66,1,BASIC,920688,113,1.71,14983,18300,451480,4
0,1391730,0.02,4.88,1,M a r v o l l o's Normal,600702,29,1.06,505350,50337,419446,
0,2704469,0.02,49.07,538,Hard,1304251,123,2.71,2654,7570,462215,7
64,2440935,0.02,55.77,4107,Normal,1170054,136,2.17,6962,22474,447316,7
0,4055442,0.02,237.07,1282,Never-ending Adventures,1440947,123,5.33,489,2988,466790,7
64,451509,0.02,39.66,102,NM,174381,235,1.75,202432,78257,391519,4
0,989903,0.02,53.13,1943,Hard,462232,87,2.75,28613,62075,407710,4
0,3603234,0.02,70.6,5637,Funk's Hyper,1667473,116,3.49,1992,10644,459135,4
0,2182135,0.02,47.08,538,ADVANCED,1043170,115,2.81,36855,32792,436984,4
64,3090354,0.02,238.79,1282,DISTORTION // I,1489897,261,4.03,4037,17759,452019,5
64,724201,0.02,122.88,3365,Mashiro's ADVANCED,243654,113,2.98,60301,69924,399853,4
0,1582903,0.02,2.14,1,Normal,751896,209,1.27,152298,45879,423937,
0,7714,0.02,2.41,1,Easy,977,147,1.29,157992,134130,335477,
0,1256370,0.02,10.26,1,Normal,593620,86,1.59,4076574,55340,414436,
0,865102,0.02,162.18,2644,Musk Sprout,397764,84,5.01,7713,41665,428135,
0,1946381,0.02,156.12,2708,Party Insane,932214,115,4.36,7317,27448,442329,4
0,1756367,0.02,10.58,1,Easy,838465,100,1.49,28863,37498,432446,4
0,1863246,0.02,43.89,102,Ad Infinitum,891345,147,2.7,81639,40099,429784,
0,2969057,0.02,32.85,6,MUZ's ADVANCED,1419506,150,2.33,8740,7458,462339,4
0,888990,0.02,35.86,25,Normal,386950,242,2.23,66444,58795,411003,4
0,2450538,0.02,12.25,1,BASIC,1174746,131,1.7,34047,24922,444857,4
64,3401627,0.02,173.62,2468,Hard,1664904,167,3.17,9733,7648,462129,4
