m,b,x,pp99,adj,v,s,l,d,p,h,appr_h,k
64,1960329,0.02,125.72,3374,Meg's Extra: Ichika,932291,195,2.84,19638,26855,442945,
0,662590,0.02,46.15,538,IT'S ME,291043,150,2.82,225431,73244,396554,
64,1421082,0.02,129.58,3262,Incandescent,672250,293,3.23,40725,37571,432199,4
0,2178010,0.02,80.71,5057,irotuk's Extra,898030,144,3.25,3066,25015,444788,
256,3661273,0.02,110.35,3701,Lycoris Radiata,1787103,127,5.32,11229,5914,463863,4
256,4144315,0.02,105.45,3837,REBELLION,1306461,124,5.45,1703,1640,468059,4
0,579715,0.02,80.14,5057,"Insanity ""Noodles""",252357,107,4.04,18760,64572,405206,4
0,4064579,0.02,63.66,5221,Procrastination,1961221,85,3.2,3066,2561,467239,4
256,1332080,0.02,118.85,3715,this isn't rocket science,631020,499,5.37,1001,10702,459086,4
64,1988749,0.02,53.25,1943,Hard,952409,66,1.95,1339308,37469,432333,
64,571519,0.02,82.89,5057,Hyper,248504,141,2.82,25655,73570,396208,7
0,3407111,0.02,67.21,5546,moonlight,1668038,107,4.47,2561,11173,458520,
64,3843741,0.02,141.52,2994,ADVANCED,1868387,111,2.99,4555,5220,464558,4
0,1570760,0.02,64.46,5221,Batt's Extra,739551,127,3.73,17721,45844,423864,
0,1177724,0.02,20.3,1,Normal,554626,86,2,236651,57143,412642,
256,2477832,0.02,96.89,4190,Break It Down,1189075,308,5.51,8300,23969,445812,4
0,3275891,0.02,117.79,3715,"Swan of Pale, of Porcelain White",1557359,420,4.58,1548,13495,456377,
0,547810,0.02,42.36,102,6K HD,235491,106,2.81,5976,69126,400654,6
64,3897690,0.02,154.72,2708,Acoustic,1891714,163,3.21,2812,1383,468498,4
